chain_id	chain_name	chain_symbol
246529	ARTIS sigma1	ATS
256256	CMP-Mainnet	CMP
281121	Social Smart Chain Mainnet	$OC
381931	Metal C-Chain	METAL
381932	Metal Tahoe C-Chain	METAL
432204	Dexalot Subnet	ALOT
474142	OpenChain Mainnet	OPC
513100	ethereum Fair	ETHF
534352	Scroll	ETH
641230	Bear Network Chain Mainnet	BRNKC
800001	OctaSpace	OCTA
846000	4GoodNetwork	APTA
900000	Posichain Mainnet Shard 0	POSI
955305	Eluvio Content Fabric	ELV
1313114	Etho Protocol	ETHO
1313500	Xerom	XERO
1337802	Kiln	ETH
1337803	Zhejiang	ETH
2099156	Plian Mainnet Main	PI
5555555	Imversed Mainnet	IMV
7225878	Saakuru Mainnet	OAS
7355310	OpenVessel	VETH
7762959	Musicoin	MUSIC
8007736	Plian Mainnet Subchain 1	PI
10101010	Soverun Mainnet	SVRN
13371337	PepChain Churchill	TPEP
14288640	Anduschain Mainnet	DEB
18289463	IOLite	ILT
20180430	SmartMesh Mainnet	SMT
20181205	quarkblockchain	QKI
22052002	Excelon Mainnet	xlon
27082022	Excoincial Chain Mainnet	EXL
28945486	Auxilium Network Mainnet	AUX
29032022	Flachain Mainnet	FLA
35855456	Joys Digital Mainnet	JOYS
61717561	Aquachain	AQUA
192837465	Gather Mainnet Network	GTH
245022934	Neon EVM MainNet	NEON
311752642	OneLedger Mainnet	OLT
503129905	Nebula Staging	sFUEL
1122334455	IPOS Network	IPOS
1313161556	Aurora Betanet	ETH
1482601649	Nebula Mainnet	sFUEL
1564830818	Calypso NFT Hub (SKALE)	sFUEL
1666600001	Harmony Mainnet Shard 1	ONE
1666600002	Harmony Mainnet Shard 2	ONE
1666600003	Harmony Mainnet Shard 3	ONE
2021121117	DataHopper	HOP
2046399126	Europa SKALE Chain	sFUEL
3125659152	Pirl	PIRL
197710212030	Ntity Mainnet	NTT
383414847825	Zeniq	ZENIQ
666301171999	PDC Mainnet	PDC
6022140761023	Molereum Network	MOLE
